id,Question,A,B,C,D,answer,explanation,score
0,用友YonBIP人力云的核心理念是什么？,构建和运营全球领先的商业创新平台,赋能员工、激活组织,提供一体化、数字化创新应用,运用AI辅助识别、机器人自动化技术、智能流程技术,B,根据原文中提到的核心理念为‘赋能员工、激活组织’，因此选项B是正确的。,1.0
1,用友YonBIP V3.0(R5_2312)YonSuite公有云发版说明中，智能中台的核心组成部分是什么？,智能平台与RPA平台,ERP系统与财务模块,企业资源规划与客户关系管理,供应链管理和人力资源,A,根据原文中的产品架构描述，智能中台确实是由智能平台与RPA平台两部分组成，故选择A选项是正确的。,1.0
2,低代码开发平台YonBuilder支持哪几种开发模式？,无代码、低代码、全代码,只支持无代码,只支持低代码,只支持全代码,A,根据<原文>中提到的'低代码开发平台提供无代码、低代码、全代码三种开发模式。'，可以明确得出<回答>A（无代码、低代码、全代码）是正确的。,1.0
3,用友YonBIP V3.0(R5_2312_1)旗舰版私有云发版中，平台合规组件主要解决什么问题？,提升云端数据处理速度,解决涉密信息系统三员管理和保密业务要求,优化用户体验和界面设计,加强非涉密信息系统的安全管理,B,根据原文中的描述，'平台合规组件解决涉密信息系统三员管理和保密业务要求'，这直接对应了选择题中的选项B。因此，回答B完全符合原文内容，故回答准确性得分为1。,1.0
4,用友iUAP技术平台是YonBIP V3.0的什么平台？,SaaS平台,IaaS平台,PaaS平台,BaaS平台,C,"根据原文中的描述：'产品总述 用友iUAP技术平台(原技术中台)是YonBIP V3.0的PaaS平台', 可知选项C (PaaS平台) 是正确的。",1.0
5,YonBIP人力云的核心理念是什么？,提供单一功能模块的软件服务,专注于线下业务的传统管理模式,构建人力资源管理全业务的数字化应用平台,仅服务于特定行业的人力资源需求,C,在提供的原文中，明确提到了'YonBIP人力云是涵盖了人力资源管理全业务的数字化应用平台'，这与选择题中C选项表述完全一致，因此回答C是正确的，准确度为满分为1。,1.0
6,用友YonBIP V3.0(R5_2312)超级版公有云发版说明中，共享服务产品支持哪些类型的服务中心创建？,财务共享服务中心,人力资源共享服务中心,生产共享服务中心,营销共享服务中心,"A
B","根据原文中提到的'产品总述 YonBIP共享服务产品支持财务共享服务中心（FSSC）或人力资源共享服务中心（HRSSC）的创建', 可知正确答案应包含A.财务共享服务中心 和 B.人力资源共享服务中心。回答中包含了这两个选项，因此回答是正确的。",1.0
7,用友YonBIP V3.0(R5_2312)YonSuite公有云发版说明中，事项会计的核心理念是什么？,构建和运营全球领先的商业创新平台,商业创新，如此便捷,实时、精细、多维的核算与报告,平台化、中台化、生态化,C,根据原文中提到的事项会计的核心理念，选项C：实时、精细、多维的核算与报告是最符合描述的。原文详细阐述了事项会计如何提供实时的、精细的、多维度的核算与报告能力，这与选项C表述的内容一致，因此回答的选项是正确的。,1.0
8,用友YonBIP V3.0(R5_2312)YonSuite公有云发版说明中，三方集成资产主要实现了哪些系统的集成？,SAP-S4HANA、钉钉、黑湖MES、浙大中控、聚水潭,用友U8、钉钉、微软Dynamics、京东商城、阿里巴巴,金蝶K3、钉钉、Oracle ERP、淘宝网、京东物流,SAP-S4HANA、微信、黑湖MES、亚马逊AWS、腾讯云,A,根据<原文>中的表格内容，三方集成资产确实主要实现了A选项中所列系统的集成，包括SAP-S4HANA、钉钉、黑湖MES、浙大中控、聚水潭。因此，<回答>选择A选项是正确的，故回答准确性得分为1。,1.0
9,用友YonBIP V3.0(R5_2312)YonSuite公有云发版说明中，三方集成资产的目标是什么？,实现YonBIP旗舰版和三方服务互联互通，帮助项目快速完成集成开发和实施，降低和三方服务集成的难度、成本。,提供单一的业务解决方案,替代原有的YonBIP功能,仅支持YonBIP旗舰版内部的数据流转,A,在提供的<原文>中，明确提到了产品目标为'实现YonBIP旗舰版和三方服务互联互通，帮助项目快速完成集成开发和实施，降低和三方服务集成的难度、成本。'这与<回答>A选项完全吻合，因此回答的准确性为满分。,1.0
10,以下是关于用友YonBIP V3.0(R5_2312)YonSuite公有云发版说明（全量版）-采购云篇的描述，哪一个选项不正确？,采购云旨在帮助核心企业以最有效的方式实现全球化采购和网络化协同，降低产品总成本。,采购云覆盖了供应商关系管理、寻源到合同、供应链协同等多个业务场景，支持与供应商、ToB电商的连接，帮助企业获取全球资源。,采购云产品目标是提供供应商关系管理、采购寻源、采购协同、委外协同等核心应用服务，并支持与财务、制造等领域的融合。,采购云仅支持标准采购，不支持VMI采购等场景应用。,D,根据原文中提到的采购云产品功能和服务目标，D选项表述采购云仅支持标准采购，不支持VMI采购等场景应用，与原文中提到的'采购协同支持标准采购、VMI采购等场景应用'相矛盾，因此D选项不正确，回答准确。,1.0
11,YonBIP人力云的核心理念是什么？,构建全球化商业平台,连接人与团队，赋能员工与激活组织,实现人力资源的功能化和模块化,促进社会级计算的应用,B,在提供的原文中，明确提到了YonBIP人力云的核心理念是以赋能员工、激活组织为产品理念，通过数字化技术连接人与团队、人与信息，贯通线上与线下业务。这与回答选项B的内容相吻合，因此回答是准确的。,1.0
12,YonBIP V3.0(R5_2312_1)旗舰版私有云发版说明中，资产云的哪一项功能支持通过智能算法推荐最优巡检路线？,资产公共服务,集团资产管理,全员资产应用,维修维护服务,D,在原文中，明确提到了资产云的维修维护服务D. 维修维护服务在3.4节下包括了点巡检管理，其中点巡检管理的巡检路线支持通过智能算法推荐最优巡检路线。因此，D选项是正确的回答。,1.0
